time="2024-06-25T23:54:22+08:00" level=warning msg="/srv/dev-disk-by-uuid-417ee010-3948-4114-8776-bc1fdf6b5599/data/docker_compose/Odoo_16/Odoo_16.yml: `version` is obsolete"
web-1  | 2024-06-25 15:47:31,045 1 INFO None odoo.service.db: Create database `odoo_16_docker`. 
web-1  | 2024-06-25 15:47:36,298 1 INFO odoo_16_docker odoo.modules.loading: loading 1 modules... 
web-1  | 2024-06-25 15:47:36,299 1 INFO odoo_16_docker odoo.modules.loading: Loading module base (1/1) 
web-1  | 2024-06-25 15:47:36,372 1 INFO odoo_16_docker odoo.modules.registry: module base: creating or updating database tables 
web-1  | 2024-06-25 15:47:42,183 1 INFO odoo_16_docker odoo.models: Prepare computation of ir.module.module.menus_by_module 
web-1  | 2024-06-25 15:47:42,184 1 INFO odoo_16_docker odoo.models: Prepare computation of ir.module.module.reports_by_module 
web-1  | 2024-06-25 15:47:42,184 1 INFO odoo_16_docker odoo.models: Prepare computation of ir.module.module.views_by_module 
web-1  | 2024-06-25 15:47:44,509 1 INFO odoo_16_docker odoo.models: Prepare computation of res.partner.user_id 
web-1  | 2024-06-25 15:47:44,510 1 INFO odoo_16_docker odoo.models: Prepare computation of res.partner.commercial_partner_id 
web-1  | 2024-06-25 15:47:44,510 1 INFO odoo_16_docker odoo.models: Prepare computation of res.partner.display_name 
web-1  | 2024-06-25 15:47:44,511 1 INFO odoo_16_docker odoo.models: Prepare computation of res.partner.company_registry 
web-1  | 2024-06-25 15:47:44,511 1 INFO odoo_16_docker odoo.models: Prepare computation of res.partner.commercial_company_name 
web-1  | 2024-06-25 15:47:44,511 1 INFO odoo_16_docker odoo.models: Prepare computation of res.partner.partner_share 
web-1  | 2024-06-25 15:47:45,197 1 INFO odoo_16_docker odoo.models: Prepare computation of res.currency.decimal_places 
web-1  | 2024-06-25 15:47:45,593 1 INFO odoo_16_docker odoo.models: Prepare computation of res.company.logo_web 
web-1  | 2024-06-25 15:47:46,091 1 INFO odoo_16_docker odoo.models: Prepare computation of res.users.signature 
web-1  | 2024-06-25 15:47:46,092 1 INFO odoo_16_docker odoo.models: Prepare computation of res.users.share 
web-1  | 2024-06-25 15:47:55,813 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/res_bank.xml 
web-1  | 2024-06-25 15:47:55,834 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/res.lang.csv 
web-1  | 2024-06-25 15:47:55,978 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/res_lang_data.xml 
web-1  | 2024-06-25 15:47:56,059 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/res_partner_data.xml 
web-1  | 2024-06-25 15:47:56,259 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/res_currency_data.xml 
web-1  | 2024-06-25 15:47:57,673 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/res_company_data.xml 
web-1  | 2024-06-25 15:47:57,784 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/res_users_data.xml 
web-1  | 2024-06-25 15:48:00,093 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/report_paperformat_data.xml 
web-1  | 2024-06-25 15:48:00,117 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/res_country_data.xml 
web-1  | 2024-06-25 15:48:01,584 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/ir_demo_data.xml 
web-1  | 2024-06-25 15:48:01,620 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/ir_config_parameter_data.xml 
web-1  | 2024-06-25 15:48:01,645 1 INFO odoo_16_docker odoo.modules.loading: loading base/security/base_groups.xml 
web-1  | 2024-06-25 15:48:04,138 1 INFO odoo_16_docker odoo.modules.loading: loading base/security/base_security.xml 
web-1  | 2024-06-25 15:48:04,530 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/base_menus.xml 
web-1  | 2024-06-25 15:48:04,814 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/decimal_precision_views.xml 
web-1  | 2024-06-25 15:48:04,867 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/res_config_views.xml 
web-1  | 2024-06-25 15:48:04,894 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/res.country.state.csv 
web-1  | 2024-06-25 15:48:06,504 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_actions_views.xml 
web-1  | 2024-06-25 15:48:06,858 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_asset_views.xml 
web-1  | 2024-06-25 15:48:06,918 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_config_parameter_views.xml 
web-1  | 2024-06-25 15:48:06,972 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_cron_views.xml 
web-1  | 2024-06-25 15:48:07,059 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_cron_trigger_views.xml 
web-1  | 2024-06-25 15:48:07,114 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_filters_views.xml 
web-1  | 2024-06-25 15:48:07,173 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_mail_server_views.xml 
web-1  | 2024-06-25 15:48:07,238 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_model_views.xml 
web-1  | 2024-06-25 15:48:07,689 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_attachment_views.xml 
web-1  | 2024-06-25 15:48:07,760 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_rule_views.xml 
web-1  | 2024-06-25 15:48:07,840 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_sequence_views.xml 
web-1  | 2024-06-25 15:48:07,905 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_ui_menu_views.xml 
web-1  | 2024-06-25 15:48:07,966 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_ui_view_views.xml 
web-1  | 2024-06-25 15:48:08,134 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_default_views.xml 
web-1  | 2024-06-25 15:48:08,205 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/ir_cron_data.xml 
web-1  | 2024-06-25 15:48:08,225 1 INFO odoo_16_docker odoo.modules.loading: loading base/report/ir_model_report.xml 
web-1  | 2024-06-25 15:48:08,239 1 INFO odoo_16_docker odoo.modules.loading: loading base/report/ir_model_templates.xml 
web-1  | 2024-06-25 15:48:08,260 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_logging_views.xml 
web-1  | 2024-06-25 15:48:08,319 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_qweb_widget_templates.xml 
web-1  | 2024-06-25 15:48:08,347 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_module_views.xml 
web-1  | 2024-06-25 15:48:08,585 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/ir_module_category_data.xml 
web-1  | 2024-06-25 15:48:08,794 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/ir_module_module.xml 
web-1  | 2024-06-25 15:48:09,005 1 INFO odoo_16_docker odoo.modules.loading: loading base/report/ir_module_reports.xml 
web-1  | 2024-06-25 15:48:09,017 1 INFO odoo_16_docker odoo.modules.loading: loading base/report/ir_module_report_templates.xml 
web-1  | 2024-06-25 15:48:09,035 1 INFO odoo_16_docker odoo.modules.loading: loading base/wizard/base_module_update_views.xml 
web-1  | 2024-06-25 15:48:09,071 1 INFO odoo_16_docker odoo.modules.loading: loading base/wizard/base_language_install_views.xml 
web-1  | 2024-06-25 15:48:09,108 1 INFO odoo_16_docker odoo.modules.loading: loading base/wizard/base_import_language_views.xml 
web-1  | 2024-06-25 15:48:09,142 1 INFO odoo_16_docker odoo.modules.loading: loading base/wizard/base_module_upgrade_views.xml 
web-1  | 2024-06-25 15:48:09,197 1 INFO odoo_16_docker odoo.modules.loading: loading base/wizard/base_module_uninstall_views.xml 
web-1  | 2024-06-25 15:48:09,218 1 INFO odoo_16_docker odoo.modules.loading: loading base/wizard/base_export_language_views.xml 
web-1  | 2024-06-25 15:48:09,253 1 INFO odoo_16_docker odoo.modules.loading: loading base/wizard/base_partner_merge_views.xml 
web-1  | 2024-06-25 15:48:09,297 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/ir_actions_data.xml 
web-1  | 2024-06-25 15:48:09,310 1 INFO odoo_16_docker odoo.modules.loading: loading base/data/ir_demo_failure_data.xml 
web-1  | 2024-06-25 15:48:09,353 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_profile_views.xml 
